"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"N8U7RGV3","journalArticle","2008","Montel-Hagen, A.; Kinet, S.; Manel, N.; Mongellaz, C.; Prohaska, R.; Battini, J. L.; Delaunay, J.; Sitbon, M.; Taylor, N.","Erythrocyte Glut1 triggers dehydroascorbic acid uptake in mammals unable to synthesize vitamin C.","Cell","","1097-4172","S0092-8674(08)00204-3 [pii] 10.1016/j.cell.2008.01.042","http://www.ncbi.nlm.nih.gov/pubmed/18358815","","2008","2017-05-05 17:11:03","2017-06-20 22:58:49","","1039-48","","6","132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQN66CZP","journalArticle","2004","Murphy, S. C.; Samuel, B. U.; Harrison, T.; Speicher, K. D.; Speicher, D. W.; Reid, M. E.; Prohaska, R.; Low, P. S.; Tanner, M. J.; Mohandas, N.; Haldar, K.","Erythrocyte detergent-resistant membrane proteins: their characterization and selective uptake during malarial infection.","Blood","","0006-4971","2003-09-3165 [pii] 10.1182/blood-2003-09-3165","http://www.ncbi.nlm.nih.gov/pubmed/14592818","","2004","2017-05-05 17:11:04","2017-06-20 22:58:42","","1920-8","","5","103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6TBVFZKR","journalArticle","2005","Pike, L. J.; Han, X.; Gross, R. W.","Epidermal growth factor receptors are localized to lipid rafts that contain a balance of inner and outer leaflet lipids: a shotgun lipidomics study.","J Biol Chem","","0021-9258","M503805200 [pii] 10.1074/jbc.M503805200","http://www.ncbi.nlm.nih.gov/pubmed/15917253","","2005","2017-05-05 17:11:04","2017-06-20 22:58:39","","26796-804","","29","280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEV7WQ8P","journalArticle","2012","Sezgin, E.; Kaiser, H. J.; Baumgart, T.; Schwille, P.; Simons, K.; Levental, I.","Elucidating membrane structure and protein behavior using giant plasma membrane vesicles","Nat Protoc","","1750-2799","10.1038/nprot.2012.059","http://www.ncbi.nlm.nih.gov/pubmed/22555243","","2012","2017-05-05 17:11:06","2017-06-20 22:58:33","","1042-51","","6","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9VWEMVB3","journalArticle","2012","Tulumello, D. V.; Deber, C. M.","Efficiency of detergents at maintaining membrane protein structures in their biologically relevant forms.","Biochim Biophys Acta","","0006-3002","S0005-2736(12)00017-X [pii] 10.1016/j.bbamem.2012.01.013","http://www.ncbi.nlm.nih.gov/pubmed/22285740","","2012","2017-05-05 17:11:08","2017-06-20 22:58:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4KEC7NR","journalArticle","1998","Galembeck, E.; Alonso, A.; Meirelles, N. C.","Effects of polyoxyethylene chain length on erythrocyte hemolysis induced by poly[oxyethylene (n) nonylphenol] non-ionic surfactants","Chem Biol Interact","","0009-2797","S0009-2797(98)00006-4 [pii]","http://www.ncbi.nlm.nih.gov/pubmed/9717511","","1998","2017-05-05 17:10:58","2017-06-20 22:58:28","","91-103","","2","113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5K8V6EMD","journalArticle","2013","Bloksgaard, M.; Brewer, J. R.; Pashkovski, E.; Ananthapadmanabhan, K. P.; Sørensen, J. A.; Bagatolli, L. A.","Effect of detergents on the physicochemical properties of skin stratum corneum: a two-photon excitation fluorescence microscopy study","Int J Cosmet Sci","","1468-2494","10.1111/ics.12089","http://www.ncbi.nlm.nih.gov/pubmed/23962033","","2013","2017-05-05 17:10:54","2017-06-20 22:58:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F2DGFT3N","journalArticle","2010","Domingues, Cleyton C.; Ciana, Annarita; Buttafava, Armando; Casadei, Bruna Renata; Balduini, Cesare; de Paula, Eneida; Minetti, Giampaolo","Effect of cholesterol depletion and temperature on the isolation of detergent-resistant membranes from human erythrocytes","The Journal of Membrane Biology","","1432-1424","10.1007/s00232-010-9246-5","","Transient lateral microdomains or lipid rafts play important roles in many physiological membrane-mediated cell processes. Detergent-resistant membranes (DRMs) are good models for the study of lipid rafts. Here we report that DRMs can be obtained by treating human erythrocytes with the nonionic detergents Triton X-100 or octaethylene glycol monododecyl ether (C(12)E(8)) at 37 degrees C, and by treatment at 4 degrees C of cholesterol-depleted erythrocytes. Electron paramagnetic resonance with spin labels inserted at different membrane depths (5- and 16-doxyl stearic acids, 5-SASL and 16-SASL) were used to measure the order parameter (S) of the cell membranes and DRMs. We previously reported significantly higher S values in DRMs with respect to intact erythrocyte membranes. Here we show that higher S values were still measurable in DRMs prepared from intact erythrocytes at 37 degrees C, or from cholesterol-depleted cells at 4 degrees C, for both detergents. For 5-SASL only, increased S values were measured in 4 degrees C DRMs obtained from cholesterol-depleted versus intact erythrocytes. Flotillin-2, a protein marker of lipid rafts, was found in DRMs from intact cells in trace amounts but it was sensitively increased in C(12)E(8) DRMs prepared at 4 degrees C from cholesterol-depleted erythrocytes, while the membrane-skeletal proteins spectrin and actin were excluded from both Triton X-100 and C(12)E(8) DRMs. However, contrary to the 4 degrees C treatment results, flotillin-2 and stomatin were not resistant to Triton X-100 and C(12)E(8) treatment at physiological temperature. The role of cholesterol in DRMs formation is discussed and the results presented provide further support for the use of C(12)E(8) to the study of DRMs.","2010-04","2017-04-04 14:32:21","2017-06-20 22:58:14","","195-205","","3","234","","J. Membr. Biol.","","","","","","","","eng","","","","","PubMed","","PMID: 20339840","","","http://www.ncbi.nlm.nih.gov/pubmed/20339840","","Erythrocyte Membrane; Humans; Cholesterol; Cells, Cultured; Detergents; Electron Spin Resonance Spectroscopy; Electrophoresis, Polyacrylamide Gel; Ethylene Glycols; Glycophorin; Membrane Microdomains; Membrane Proteins; Octoxynol; Temperature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERV6JEXK","journalArticle","2011","Schmitz, M.; Zerr, I.; Althaus, H. H.","Effect of Cavtratin, a Caveolin-1 Scaffolding Domain Peptide, on Oligodendroglial Signaling Cascades.","Cell Mol Neurobiol","","1573-6830","10.1007/s10571-011-9694-1","http://www.ncbi.nlm.nih.gov/pubmed/21523467","","2011","2017-05-05 17:11:06","2017-06-20 22:58:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KMRMQ5BN","journalArticle","2010","Mrówczyńska, L.; Salzer, U.; Perutková, S.; Iglič, A.; Hägerstrand, H.","Echinophilic proteins stomatin, sorcin, and synexin locate outside gangliosideM1 (GM1) patches in the erythrocyte membrane.","Biochem Biophys Res Commun","","1090-2104","S0006-291X(10)01762-6 [pii] 10.1016/j.bbrc.2010.09.065","http://www.ncbi.nlm.nih.gov/pubmed/20858460","","2010","2017-05-05 17:11:03","2017-06-20 22:58:08","","396-400","","3","401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WJRME272","journalArticle","2004","Kenworthy, A. K.; Nichols, B. J.; Remmert, C. L.; Hendrix, G. M.; Kumar, M.; Zimmerberg, J.; Lippincott-Schwartz, J.","Dynamics of putative raft-associated proteins at the cell surface.","J Cell Biol","","0021-9525","jcb.200312170 [pii] 10.1083/jcb.200312170","http://www.ncbi.nlm.nih.gov/pubmed/15173190","","2004","2017-05-05 17:11:01","2017-06-20 22:58:05","","735-46","","5","165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2NAR5HU","journalArticle","2004","Gómez-Moutón, C.; Lacalle, R. A.; Mira, E.; Jiménez-Baranda, S.; Barber, D. F.; Carrera, A. C.; Martínez-A, C.; Mañes, S.","Dynamic redistribution of raft domains as an organizing platform for signaling during cell chemotaxis","J Cell Biol","","0021-9525","jcb.200309101 [pii] 10.1083/jcb.200309101","http://www.ncbi.nlm.nih.gov/pubmed/14981096","","2004","2017-05-05 17:10:59","2017-06-20 22:58:02","","759-68","","5","164","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RGKPSI3W","journalArticle","2008","Kapoor, Y.; Chauhan, A.","Drug and surfactant transport in Cyclosporine A and Brij 98 laden p-HEMA hydrogels.","J Colloid Interface Sci","","0021-9797","S0021-9797(08)00185-9 [pii] 10.1016/j.jcis.2008.02.028","http://www.ncbi.nlm.nih.gov/pubmed/18359493","","2008","2017-05-05 17:11:01","2017-06-20 22:57:57","","624-33","","2","322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JC956FKV","journalArticle","2010","Czogalla, A.; Sikorski, A. F.","Do we already know how spectrin attracts ankyrin?","Cell Mol Life Sci","","1420-9071","10.1007/s00018-010-0371-1","http://www.ncbi.nlm.nih.gov/pubmed/20411297","","2010","2017-05-05 17:10:55","2017-06-20 22:57:55","","2679-83","","16","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKJNJPT7","journalArticle","2010","Tsuchiya, H.; Ueno, T.; Mizogami, M.; Takakura, K.","Do local anesthetics interact preferentially with membrane lipid rafts? Comparative interactivities with raft-like membranes.","J Anesth","","1438-8359","10.1007/s00540-010-0943-0","http://www.ncbi.nlm.nih.gov/pubmed/20414686","","2010","2017-05-05 17:11:08","2017-06-20 22:57:54","","639-42","","4","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U4S6R3SC","journalArticle","2004","Glebov, O. O.; Nichols, B. J.","Distribution of lipid raft markers in live cells","Biochem Soc Trans","","0300-5127","BST0320673 [pii] 10.1042/BST0320673","http://www.ncbi.nlm.nih.gov/pubmed/15493984","","2004","2017-05-05 17:10:59","2017-06-20 22:57:52","","673-5","","Pt 5","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ZJCBJZJ","journalArticle","2009","Koshino, I.; Takakuwa, Y.","Disruption of lipid rafts by lidocaine inhibits erythrocyte invasion by Plasmodium falciparum.","Exp Parasitol","","1090-2449","S0014-4894(09)00238-0 [pii] 10.1016/j.exppara.2009.08.019","http://www.ncbi.nlm.nih.gov/pubmed/19733566","","2009","2017-05-05 17:11:01","2017-06-20 22:57:48","","381-3","","4","123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUG2HNTA","journalArticle","2013","Toulmay, A.; Prinz, W. A.","Direct imaging reveals stable, micrometer-scale lipid domains that segregate proteins in live cells","J Cell Biol","","1540-8140","10.1083/jcb.201301039","http://www.ncbi.nlm.nih.gov/pubmed/23836928","","2013","2017-05-05 17:11:07","2017-06-20 22:57:21","","35-44","","1","202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EGRFQEZG","journalArticle","2008","Delaunay, J L; Breton, M; Trugnan, G; Maurice, M","Differential solubilization of inner plasma membrane leaflet components by Lubrol WX and Triton X-100","Biochim Biophys Acta","","0006-3002","S0005-2736(07)00351-3 [pii] 10.1016/j.bbamem.2007.09.017","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=17976531","","2008","2017-05-05 17:10:57","2017-06-20 22:57:19","","105-12","","1","1778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UM4FPN9Z","journalArticle","2002","Cassera, M. B.; Silber, A. M.; Gennaro, A. M.","Differential effects of cholesterol on acyl chain order in erythrocyte membranes as a function of depth from the surface. An electron paramagnetic resonance (EPR) spin label study","Biophys Chem","","0301-4622","S0301462202001394 [pii]","http://www.ncbi.nlm.nih.gov/pubmed/12377363","","2002","2017-05-05 17:10:55","2017-06-20 22:57:18","","117-27","","2","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J4BK9P6F","journalArticle","2013","Lichtenberg, D.; Ahyayauch, H.; Alonso, A.; Goñi, F. M.","Detergent solubilization of lipid bilayers: a balance of driving forces","Trends Biochem Sci","","0968-0004","10.1016/j.tibs.2012.11.005","http://www.ncbi.nlm.nih.gov/pubmed/23290685","","2013","2017-05-05 17:11:02","2017-06-20 22:57:16","","85-93","","2","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZPA6ZZNH","journalArticle","2006","Rodi, P. M.; Cabeza, M. S.; Gennaro, A. M.","Detergent solubilization of bovine erythrocytes. Comparison between the insoluble material and the intact membrane.","Biophys Chem","","0301-4622","S0301-4622(06)00078-0 [pii] 10.1016/j.bpc.2006.03.005","http://www.ncbi.nlm.nih.gov/pubmed/16580771","","2006","2017-05-05 17:11:05","2017-06-20 22:57:14","","114-22","","2","122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NJVZ9EN","journalArticle","2005","Staneva, G.; Seigneuret, M.; Koumanov, K.; Trugnan, G.; Angelova, M. I.","Detergents induce raft-like domains budding and fission from giant unilamellar heterogeneous vesicles: a direct microscopy observation.","Chem Phys Lipids","","0009-3084","S0009-3084(05)00075-7 [pii] 10.1016/j.chemphyslip.2005.03.007","http://www.ncbi.nlm.nih.gov/pubmed/15927174","","2005","2017-05-05 17:11:07","2017-06-20 22:57:12","","55-66","","1","136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZUU77WJ","journalArticle","2004","Chamberlain, L. H.","Detergents as tools for the purification and classification of lipid rafts","FEBS Lett","","0014-5793","S001457930400050X [pii]","http://www.ncbi.nlm.nih.gov/pubmed/14986659","","2004","2017-05-05 17:10:55","2017-06-20 22:57:10","","1-5","","1-3","559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9PRQXEW8","journalArticle","2005","Lichtenberg, D; Goni, F M; Heerklotz, H","Detergent-resistant membranes should not be identified with membrane rafts","Trends in Biochemical Sciences","","0968-0004","DOI 10.1016/j.tibs.2005.06.004","","","2005","2017-05-05 17:11:02","2017-06-20 22:57:08","","430-436","","8","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9CE59R5","journalArticle","2008","Clarke, M. W.; Burnett, J. R.; Croft, K. D.","Vitamin E in human health and disease","Crit Rev Clin Lab Sci","","1549-781X (Electronic)1040-8363 (Linking)","10.1080/10408360802118625","http://dx.doi.org/10.1080/10408360802118625","","2008","2017-05-05 17:10:55","2017-05-05 17:10:55","","417-50","","5","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZAD6VMJ","journalArticle","1956","Chen, P. S.; Toribara, Jr. T. Y.; Warner, H","Microdetermination of phosphorus","Anal. Chem.","","","","","","1956","2017-05-05 17:10:55","2017-05-05 17:10:55","","1756-1758","","9","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WJC6SGIV","journalArticle","2007","Chen, K.; Baxter, T.; Muir, W. M.; Groenen, M. A.; Schook, L. B.","Genetic resources, genome mapping and evolutionary genomics of the pig (Sus scrofa)","Int J Biol Sci","","","","http://dx.doi.org/","","2007","2017-05-05 17:10:55","2017-05-05 17:10:55","","153-65","","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHHX45RK","journalArticle","2008","Daleke, D. L.","Regulation of phospholipid asymmetry in the erythrocyte membrane","Curr Opin Hematol","","1065-6251 (Print)1065-6251","10.1097/MOH.0b013e3282f97af7","http://dx.doi.org/10.1097/MOH.0b013e3282f97af7","","2008","2017-05-05 17:10:55","2017-05-05 17:10:55","","191-5","","3","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D8N5SKMG","journalArticle","2013","Da Costa, Lydie; Galimand, Julie; Fenneteau, Odile; Mohandas, Narla","Hereditary spherocytosis, elliptocytosis, and other red cell membrane disorders","Blood Reviews","","0268-960X","10.1016/j.blre.2013.04.003","http://www.bloodreviews.com/article/S0268960X13000192/pdf","","2013","2017-05-05 17:10:55","2017-05-05 17:10:55","","167-178","","4","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S48TAGAR","journalArticle","2013","Cubí, R.; Matas, L. A.; Pou, M.; Aguilera, J.; Gil, C.","Differential sensitivity to detergents of actin cytoskeleton from nerve endings","Biochim Biophys Acta","","0006-3002","10.1016/j.bbamem.2013.06.022","http://www.ncbi.nlm.nih.gov/pubmed/23817010","","2013","2017-05-05 17:10:55","2017-05-05 17:10:55","","2385-93","","11","1828","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4U86R2UN","journalArticle","1982","Criado, M.; Eibl, H.; Barrantes, F. J.","Effects of lipids on acetylcholine receptor. Essential need of cholesterol for maintenance of agonist-induced state transitions in lipid vesicles","Biochemistry","","0006-2960 (Print)0006-2960","","http://dx.doi.org/","","1982","2017-05-05 17:10:55","2017-05-05 17:10:55","","3622-9","","15","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R5SMQDCU","journalArticle","1992","Cramer, W. A.; Engelman, D. M.; Von Heijne, G.; Rees, D. C.","Forces involved in the assembly and stabilization of membrane proteins","Faseb j","","0892-6638 (Print)0892-6638","","http://dx.doi.org/","","1992","2017-05-05 17:10:55","2017-05-05 17:10:55","","3397-402","","15","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JKCBZAC2","journalArticle","2010","Contreras, F X; Sanchez-Magraner, L; Alonso, A; Goni, F M","Transbilayer (flip-flop) lipid motion and lipid scrambling in membranes","Febs Letters","","0014-5793","DOI 10.1016/j.febslet.2009.12.049","http://www.ncbi.nlm.nih.gov/pubmed?term=Transbilayer%20%28flip-flop%29%20lipid%20motion%20and%20lipid%20scrambling%20in%20membranes","","2010","2017-05-05 17:10:55","2017-05-05 17:10:55","","1779-1786","","9","584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNBRGZGB","journalArticle","2010","Cole, A. A.; Dosemeci, A.; Reese, T. S.","Co-segregation of AMPA receptors with G(M1) ganglioside in synaptosomal membrane subfractions","Biochem J","","1470-8728","BJ20091344 [pii] 10.1042/BJ20091344","http://www.ncbi.nlm.nih.gov/pubmed/20148761","","2010","2017-05-05 17:10:55","2017-05-05 17:10:55","","535-40","","3","427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URI6TUBG","journalArticle","2008","Clop, E. M.; Clop, P. D.; Sanchez, J. M.; Perillo, M. A.","Molecular packing tunes the activity of Kluyveromyces lactis beta-galactosidase incorporated in Langmuir-Blodgett films","Langmuir","","0743-7463","10.1021/la801679m","http://www.ncbi.nlm.nih.gov/pubmed/18767827","","2008","2017-05-05 17:10:55","2017-05-05 17:10:55","","10950-60","","19","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DVSI5ZAW","journalArticle","1999","Cheng, Y; Liu, M; Li, R; Wang, C; Bai, C; Wang, K","Gadolinium induces domain and pore formation of human erythrocyte membrane: an atomic force microscopic study","Biochim Biophys Acta","","0006-3002","S0005-2736(99)00125-X [pii]","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=10518695","","1999","2017-05-05 17:10:55","2017-05-05 17:10:55","","249-60","","2","1421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TP4I4R8W","journalArticle","2009","Cabeça, L. F.; Pickholz, M.; de Paula, E.; Marsaioli, A. J.","Liposome-prilocaine interaction mapping evaluated through STD NMR and molecular dynamics simulations","J Phys Chem B","","1520-6106","10.1021/jp8069496 [pii] 10.1021/jp8069496","http://www.ncbi.nlm.nih.gov/pubmed/19183018","","2009","2017-05-05 17:10:54","2017-05-05 17:10:54","","2365-70","","8","113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6UJ72AN","journalArticle","2008","Cabeça, L. F.; Fernandes, S. A.; de Paula, E.; Marsaioli, A. J.","Topology of a ternary complex (proparacaine-beta-cyclodextrin-liposome) by STD NMR","Magn Reson Chem","","1097-458X","10.1002/mrc.2265","http://www.ncbi.nlm.nih.gov/pubmed/18642398","","2008","2017-05-05 17:10:54","2017-05-05 17:10:54","","832-7","","9","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUP7VCZB","journalArticle","2008","Bispo de Jesus, M.; Zambuzzi, W. F.; Ruela de Sousa, R. R.; Areche, C.; Santos de Souza, A. C.; Aoyama, H.; Schmeda-Hirschmann, G.; Rodríguez, J. A.; Monteiro de Souza Brito, A. R.; Peppelenbosch, M. P.; den Hertog, J.; de Paula, E.; Ferreira, C. V.","Ferruginol suppresses survival signaling pathways in androgen-independent human prostate cancer cells","Biochimie","","0300-9084","S0300-9084(08)00029-1 [pii] 10.1016/j.biochi.2008.01.011","http://www.ncbi.nlm.nih.gov/pubmed/18294971","","2008","2017-05-05 17:10:54","2017-05-05 17:10:54","","843-54","","6","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9XMNW9XM","thesis","2011","Casadei, B. R.","Estudos de membranas eritrocitárias resistentes a detergentes da série éter de polioxietileno (Brij)","","","","","","","2011","2017-05-05 17:10:54","2017-05-05 17:10:54","","","","","","","","","","","","","","","","","Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32CSNSI6","journalArticle","1999","Carrer, D. C.; Maggio, B.","Phase behavior and molecular interactions in mixtures of ceramide with dipalmitoylphosphatidylcholine","J Lipid Res","","0022-2275","","http://www.ncbi.nlm.nih.gov/pubmed/10553001","","1999","2017-05-05 17:10:54","2017-05-05 17:10:54","","1978-89","","11","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R9AKGZAJ","journalArticle","2009","Busto, J. V.; Fanani, M. L.; De Tullio, L.; Sot, J.; Maggio, B.; Goñi, F. M.; Alonso, A.","Coexistence of immiscible mixtures of palmitoylsphingomyelin and palmitoylceramide in monolayers and bilayers","Biophys J","","1542-0086","S0006-3495(09)01431-3 [pii] 10.1016/j.bpj.2009.08.040","http://www.ncbi.nlm.nih.gov/pubmed/19917225","","2009","2017-05-05 17:10:54","2017-05-05 17:10:54","","2717-26","","10","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UC94VWXB","journalArticle","1989","Brown, R. E.; Jarvis, K. L.; Hyland, K. J.","Protein measurement using bicinchoninic acid: elimination of interfering substances","Anal Biochem","","0003-2697","0003-2697(89)90101-2 [pii]","http://www.ncbi.nlm.nih.gov/pubmed/2817336","","1989","2017-05-05 17:10:54","2017-05-05 17:10:54","","136-9","","1","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCAEZVUP","journalArticle","1992","Brown, D. A.; Rose, J. K.","Sorting of GPI-anchored proteins to glycolipid-enriched membrane subdomains during transport to the apical cell surface","Cell","","0092-8674","0092-8674(92)90189-J [pii]","http://www.ncbi.nlm.nih.gov/pubmed/1531449","","1992","2017-05-05 17:10:54","2017-05-05 17:10:54","","533-44","","3","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MW583IK","journalArticle","1972","Breckenridge, W. C.; Gombos, G.; Morgan, I. G.","The lipid composition of adult rat brain synaptosomal plasma membranes","Biochim Biophys Acta","","0006-3002","0006-3002(72)90012-1 [pii]","http://www.ncbi.nlm.nih.gov/pubmed/4339171","","1972","2017-05-05 17:10:54","2017-05-05 17:10:54","","695-707","","3","266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
